Service,Resource Count,Total Attributes,Resource Name,Attribute Count
,,,iam_workforce_pool_provider_key,10
,,,iam_workload_identity_pool,14
,,,iam_workload_identity_pool_iam,8
,,,iam_workload_identity_pool_managed_identity,7
,,,iam_workload_identity_pool_namespace,5
,,,iam_workload_identity_pool_provider,18

Cloud_Identity,2,16,cloud_identity_group,7
,,,cloud_identity_group_membership,9

Cloud_Intrusion_Detection_Service,1,7,cloud_ids_endpoint,7

Cloud_Key_Management_Service,11,74,google_kms_crypto_key_iam,7
,,,google_kms_key_ring_iam,7
,,,kms_autokey_config,2
,,,kms_crypto_key,12
,,,kms_crypto_key_version,4
,,,kms_ekm_connection,19
,,,kms_ekm_connection_iam,9
,,,kms_key_handle,4
,,,kms_key_ring,3
,,,kms_key_ring_import_job,4
,,,kms_secret_ciphertext,3

Cloud_Platform,19,117,folder_service_identity,2
,,,google_billing_subaccount,0
,,,google_folder,4
,,,google_folder_iam,10
,,,google_folder_organization_policy,9
,,,google_organization_iam,10
,,,google_organization_iam_custom_role,6
,,,google_organization_policy,9
,,,google_project,11
,,,google_project_default_service_accounts,3
,,,google_project_iam,10
,,,google_project_iam_custom_role,5
,,,google_project_iam_member_remove,3
,,,google_project_organization_policy,9
,,,google_project_service,5
,,,google_service_account,6
,,,google_service_account_iam,7
,,,google_service_account_key,6
,,,project_service_identity,2

Cloud_Quotas,2,16,cloud_quotas_quota_adjuster_settings,2
,,,cloud_quotas_quota_preference,14

Cloud_Run,3,124,cloud_run_domain_mapping,16
,,,cloud_run_service,102
,,,cloud_run_service_iam,6

Cloud_Run_(v2_API),6,321,cloud_run_v2_job,94
,,,cloud_run_v2_job_iam,6
,,,cloud_run_v2_service,131
,,,cloud_run_v2_service_iam,6
,,,cloud_run_v2_worker_pool,78
,,,cloud_run_v2_worker_pool_iam,6

Cloud_SQL,5,137,sql_database,6
,,,sql_database_instance,101
,,,sql_source_representation_instance,12
,,,sql_ssl_cert,3
,,,sql_user,15

Cloud_Scheduler,1,34,cloud_scheduler_job,34

Cloud_Security_Scanner,1,17,security_scanner_scan_config,17

Cloud_Source_Repositories,2,11,sourcerepo_repository,6
,,,sourcerepo_repository_iam,5

Cloud_Spanner,7,76,spanner_backup_schedule,12
,,,spanner_database,11
,,,spanner_database_iam,9
,,,spanner_instance,24
,,,spanner_instance_config,8
,,,spanner_instance_iam,5
,,,spanner_instance_partition,7

Cloud_Storage,15,132,storage_anywhere_cache,4
,,,storage_bucket,58
,,,storage_bucket_access_control,3
,,,storage_bucket_acl,4
,,,storage_bucket_iam,4
,,,storage_bucket_object,22
,,,storage_default_object_access_control,4
,,,storage_default_object_acl,2
,,,storage_folder,3
,,,storage_hmac_key,3
,,,storage_managed_folder,3
,,,storage_managed_folder_iam,8
,,,storage_notification,6
,,,storage_object_access_control,4
,,,storage_object_acl,4

Cloud_Storage_Batch_Operations,2,34,google_storage_batch_operations_job,14
,,,storage_batch_operations_job,20

Cloud_Storage_Control,3,30,storage_control_folder_intelligence_config,10
,,,storage_control_organization_intelligence_config,10
,,,storage_control_project_intelligence_config,10

Cloud_Storage_Insights,2,41,storage_insights_dataset_config,19
,,,storage_insights_report_config,22

Cloud_Storage_for_Firebase,1,2,firebase_storage_bucket,2

Cloud_TPU,1,11,tpu_node,11

Cloud_TPU_v2,2,46,tpu_v2_queued_resource,16
,,,tpu_v2_vm,30

Cloud_Tasks,2,42,cloud_tasks_queue,36
,,,cloud_tasks_queue_iam,6

Cloud_VMware_Engine,8,102,vmwareengine_cluster,21
,,,vmwareengine_external_access_rule,12
,,,vmwareengine_external_address,4
,,,vmwareengine_network,5
,,,vmwareengine_network_peering,10
,,,vmwareengine_network_policy,10
,,,vmwareengine_private_cloud,37
,,,vmwareengine_subnet,3

Cloud_Workstations,5,102,workstations_workstation,10
,,,workstations_workstation_cluster,14
,,,workstations_workstation_config,63
,,,workstations_workstation_config_iam,7
,,,workstations_workstation_iam,8

Colab_Enterprise,5,78,colab_notebook_execution,14
,,,colab_runtime,9
,,,colab_runtime_template,26
,,,colab_runtime_template_iam,6
,,,colab_schedule,23

Compute_Engine,142,2868,compute_address,14
,,,compute_attached_disk,7
,,,compute_autoscaler,38
,,,compute_backend_bucket,25
,,,compute_backend_bucket_iam,5
,,,compute_backend_bucket_signed_url_key,4
,,,compute_backend_service,125
,,,compute_backend_service_iam,8
,,,compute_backend_service_signed_url_key,4
,,,compute_cross_site_network,3
,,,compute_disk,41
,,,compute_disk_async_replication,4
,,,compute_disk_iam,6
,,,compute_disk_resource_policy_attachment,4
,,,compute_external_vpn_gateway,8
,,,compute_firewall,20
,,,compute_firewall_policy,3
,,,compute_firewall_policy_association,3
,,,compute_firewall_policy_rule,32
,,,compute_firewall_policy_with_rules,37
